facility_name,facility_id,npi,citytown,state,zip_code,year,asc1_rate,asc1_footnote,asc2_rate,asc2_footnote,asc3_rate,asc3_footnote,asc4_rate,asc4_footnote,asc9_rate,asc9_footnote,asc11_rate,asc11_footnote,asc12_total_cases,asc12_performance_category,asc12_rshv_rate,asc12_interval_lower_limit,asc12_interval_upper_limit,asc12_footnote,asc13_rate,asc13_footnote,asc14_rate,asc14_footnote,asc17_total_cases,asc17_performance_category,asc17_rshv_rate,asc17_interval_lower_limit,asc17_interval_upper_limit,asc17_footnote,asc18_total_cases,asc18_performance_category,asc18_rshv_rate,asc18_interval_lower_limit,asc18_interval_upper_limit,asc18_footnote,asc19_total_cases,asc19_performance_category,asc19_rshv_rate,asc19_interval_lower_limit,asc19_interval_upper_limit,asc19_footnote,asc20_sample,asc20_rate,asc20_footnote
TOWSON SURGICAL CENTER LLC,21C0001186,1699711382,TOWSON,MD,21204.0,2023,0.0,,0.0,,0.0,,0.05,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,45.0,No Different Than the National Rate,2.2,1.4,3.4,,,,,,,5.0,401.0,No Different than expected,0.6,0.3,1.1,,,,5.0
TOWSON SURGICAL CENTER LLC,21C0001186,1699711382,TOWSON,MD,21204.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,55.0,100.0,
THE EYE SURGERY CENTER OF NORTHERN CALIFORNIA,55C0001040,1699711556,CITRUS HEIGHTS,CA,95621.0,2023,0.0,,0.0,,0.0,,0.01,,,5.0,,5.0,,,,,,5.0,,5.0,0.18,,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
THE EYE SURGERY CENTER OF NORTHERN CALIFORNIA,55C0001040,1699711556,CITRUS HEIGHTS,CA,95621.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,35.0,0.0,
SANTA CLARITA SURGERY CENTER FOR ADVANCED PAIN MANAGEMENT,05C0001523,1699720573,VALENCIA,CA,91355.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
SANTA CLARITA SURGERY CENTER FOR ADVANCED PAIN MANAGEMENT,05C0001523,1699720573,VALENCIA,CA,91355.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
ANTELOPE VALLEY SURGERY CENTER LP,05C0001233,1699732131,LANCASTER,CA,93534.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,Number of Cases Too Small,,,,1.0,,Number of Cases Too Small,,,,1.0,,,5.0
ANTELOPE VALLEY SURGERY CENTER LP,05C0001233,1699732131,LANCASTER,CA,93534.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
NORTH AUSTIN SURGERY CENTER LP,45C0001375,1699738112,AUSTIN,TX,78758.0,2023,0.0,,0.01,,0.01,,0.19,,85.71,,,5.0,424.0,No Different Than the National Rate,10.5,7.4,14.9,,99.51,,,5.0,39.0,No Different Than the National Rate,2.2,1.4,3.5,,656.0,No Different Than the National Rate,5.0,3.8,6.5,,114.0,No Different than expected,0.9,0.5,1.6,,,,5.0
NORTH AUSTIN SURGERY CENTER LP,45C0001375,1699738112,AUSTIN,TX,78758.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,438.0,0.0,
NIAGARA HEALTH CENTER INC,52C0001029,1699745067,NIAGARA,WI,54151.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
NIAGARA HEALTH CENTER INC,52C0001029,1699745067,NIAGARA,WI,54151.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,24.0,0.0,
MIDDLETOWN ENDOSCOPY ASC LLC,36C0001165,1699748855,MIDDLETOWN,OH,45042.0,2023,0.0,,0.04,,0.0,,0.08,,100.0,,,5.0,1021.0,No Different Than the National Rate,13.2,9.7,18.1,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
MIDDLETOWN ENDOSCOPY ASC LLC,36C0001165,1699748855,MIDDLETOWN,OH,45042.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,27.0,0.0,
EASTLAND MEDICAL PLAZA SURGICENTER LLC,14C0001048,1699751289,BLOOMINGTON,IL,61701.0,2023,,5.0,,5.0,,5.0,,5.0,100.0,,,5.0,926.0,No Different Than the National Rate,10.2,7.4,13.9,,100.0,,0.44,,45.0,No Different Than the National Rate,2.6,1.6,4.1,,109.0,No Different Than the National Rate,5.5,3.6,8.3,,222.0,No Different than expected,1.5,0.9,2.5,,,,5.0
EASTLAND MEDICAL PLAZA SURGICENTER LLC,14C0001048,1699751289,BLOOMINGTON,IL,61701.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,99.0,88.8,
WILLIAMS PLASTIC AND RECONSTRUCTIVE SURGERYPC,11C0001204,1699759035,DALTON,GA,30720.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,82.0,No Different than expected,1.0,0.5,1.8,,,,5.0
WILLIAMS PLASTIC AND RECONSTRUCTIVE SURGERYPC,11C0001204,1699759035,DALTON,GA,30720.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
ADVANCED PAIN MANAGEMENT,05C0001476,1699768713,RANCHO MIRAGE,CA,92270.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
ADVANCED PAIN MANAGEMENT,05C0001476,1699768713,RANCHO MIRAGE,CA,92270.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
PHYSICIANS SURGERY CENTER OF TEMPE LLC DBA PHYSICIANS SURGERY CENTER OF TEMPE,03C0001056,1699777540,CHANDLER,AZ,85282.0,2023,0.0,,0.0,,0.0,,0.07,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,298.0,No Different Than the National Rate,2.4,1.7,3.6,,,,,,,5.0,41.0,No Different than expected,1.1,0.6,2.1,,,,5.0
PHYSICIANS SURGERY CENTER OF TEMPE LLC DBA PHYSICIANS SURGERY CENTER OF TEMPE,03C0001056,1699777540,CHANDLER,AZ,85282.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,88.0,32.2,
CENTER FOR ORTHOPEDIC SURGERY LLC,05C0001377,1699780247,VAN NUYS,CA,91405.0,2023,0.0,,0.0,,0.0,,0.07,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,342.0,No Different Than the National Rate,2.3,1.6,3.4,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
CENTER FOR ORTHOPEDIC SURGERY LLC,05C0001377,1699780247,VAN NUYS,CA,91405.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,110.0,0.9,
LAUREL LASER AND SURGERY CENTER ALTOONA,39C0001247,1699813774,DUNCANSVILLE,PA,16635.0,2023,,5.0,0.0,,0.04,,0.09,,,5.0,,5.0,,,,,,5.0,,5.0,0.09,,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
LAUREL LASER AND SURGERY CENTER ALTOONA,39C0001247,1699813774,DUNCANSVILLE,PA,16635.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,26.0,0.0,
CASCADE EYE AND SKIN CENTERS PC,50C0001134,1699817346,PUYALLUP,WA,98371.0,2023,0.0,,0.0,,0.0,,0.0,,,5.0,,5.0,,,,,,5.0,,5.0,0.43,,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
CASCADE EYE AND SKIN CENTERS PC,50C0001134,1699817346,PUYALLUP,WA,98371.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,42.0,0.0,
BON SECOURS SURGERY CENTER AT VIRGINIA BEACH LLC,49C0001047,1699818237,VIRGINIA BEACH,VA,23462.0,2023,0.0,,0.0,,0.0,,0.08,,,5.0,,5.0,,,,,,5.0,100.0,,0.59,,121.0,No Different Than the National Rate,2.5,1.7,3.8,,,,,,,5.0,102.0,No Different than expected,1.2,0.7,2.2,,,,5.0
BON SECOURS SURGERY CENTER AT VIRGINIA BEACH LLC,49C0001047,1699818237,VIRGINIA BEACH,VA,23462.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,132.0,97.0,
TURTLE CREEK SURGERY CENTER LLC,45C0001356,1699819979,TYLER,TX,75701.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
TURTLE CREEK SURGERY CENTER LLC,45C0001356,1699819979,TYLER,TX,75701.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
SANTA MONICA SURGICAL PARTNERS LLC DBA SURGERY CENTER OF THE PACIFIC,05C0001796,1699855213,SANTA MONICA,CA,90403.0,2023,0.02,,0.02,,0.0,,0.05,,,5.0,,5.0,,,,,,5.0,99.55,,0.19,,530.0,No Different Than the National Rate,2.3,1.6,3.4,,,Number of Cases Too Small,,,,1.0,177.0,No Different than expected,0.8,0.4,1.3,,,,5.0
SANTA MONICA SURGICAL PARTNERS LLC DBA SURGERY CENTER OF THE PACIFIC,05C0001796,1699855213,SANTA MONICA,CA,90403.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,103.0,100.0,
PACIFIC SURGERY CENTER,05C0001203,1699863258,OCEANSIDE,CA,92056.0,2023,0.0,,0.0,,0.0,,0.08,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
PACIFIC SURGERY CENTER,05C0001203,1699863258,OCEANSIDE,CA,92056.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,9.0,,1.0
GENEVA WOODS SURGICAL CENTER INC,02C0001002,1699875450,ANCHORAGE,AK,99508.0,2023,0.0,,0.0,,0.0,,0.05,,,5.0,,5.0,,,,,,5.0,100.0,,0.26,,,Number of Cases Too Small,,,,1.0,,,,,,5.0,35.0,No Different than expected,0.9,0.5,1.8,,,,5.0
GENEVA WOODS SURGICAL CENTER INC,02C0001002,1699875450,ANCHORAGE,AK,99508.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,59.0,15.8,
SOUTHEAST VALLEY ENDOSCOPY CENTER,03C0001314,1699943290,CHANDLER,AZ,85224.0,2023,,5.0,,5.0,,5.0,,5.0,90.57,,,5.0,4538.0,No Different Than the National Rate,8.5,6.7,10.9,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
SOUTHEAST VALLEY ENDOSCOPY CENTER,03C0001314,1699943290,CHANDLER,AZ,85224.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,72.0,0.0,
MISSION VALLEY HEIGHTS SURGERY CENTER,05C0001565,1699959387,SAN DIEGO,CA,92108.0,2023,0.0,,0.03,,0.0,,0.1,,,5.0,,5.0,,,,,,5.0,98.03,,,5.0,87.0,No Different Than the National Rate,2.2,1.4,3.5,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
MISSION VALLEY HEIGHTS SURGERY CENTER,05C0001565,1699959387,SAN DIEGO,CA,92108.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,89.0,0.0,
CENTER FOR SURGICAL EXCELLENCE INC,53C0001021,1700042942,GILLETTE,WY,82716.0,2023,,5.0,,5.0,,5.0,0.12,,100.0,,,5.0,601.0,No Different Than the National Rate,10.9,7.8,15.0,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
CENTER FOR SURGICAL EXCELLENCE INC,53C0001021,1700042942,GILLETTE,WY,82716.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,17.0,11.7,
NORTH STATE SURGERY CENTERS DBA MERCY SURGERY CENTER,05C0001643,1700057254,REDDING,CA,96001.0,2023,0.0,,0.04,,0.0,,0.25,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,391.0,No Different Than the National Rate,2.3,1.6,3.4,,257.0,No Different Than the National Rate,5.3,3.6,7.5,,260.0,No Different than expected,0.7,0.4,1.3,,,,5.0
NORTH STATE SURGERY CENTERS DBA MERCY SURGERY CENTER,05C0001643,1700057254,REDDING,CA,96001.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,113.0,1.8,
SOLAR SURGICAL CENTER LLC,05C0001991,1700162054,OXNARD,CA,93036.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,100.0,,0.88,,72.0,No Different Than the National Rate,2.1,1.4,3.3,,,,,,,5.0,340.0,No Different than expected,0.9,0.5,1.5,,,,5.0
SOLAR SURGICAL CENTER LLC,05C0001991,1700162054,OXNARD,CA,93036.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,14.0,100.0,
IRVINE DIGESTIVE DISEASE CENTER INC,05C0002002,1700180957,IRVINE,CA,92618.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
IRVINE DIGESTIVE DISEASE CENTER INC,05C0002002,1700180957,IRVINE,CA,92618.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
NORTH POINT SURGERY CENTER LLC,26C0001155,1700263415,KANSAS CITY,MO,64154.0,2023,,5.0,,5.0,,5.0,0.06,,,5.0,,5.0,,,,,,5.0,,1.0,0.21,,,,,,,5.0,,,,,,5.0,29.0,No Different than expected,0.9,0.5,1.8,,,,5.0
NORTH POINT SURGERY CENTER LLC,26C0001155,1700263415,KANSAS CITY,MO,64154.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,69.0,92.7,
SOUTHEAST OHIO SURGICAL SUITES LLC,36C0001290,1700269354,ATHENS,OH,45701.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,59.0,No Different Than the National Rate,2.0,1.3,3.1,,,,,,,5.0,,,,,,7.0,,,5.0
SOUTHEAST OHIO SURGICAL SUITES LLC,36C0001290,1700269354,ATHENS,OH,45701.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
LAKE JACKSON ENDOSCOPY CENTER,45C0001586,1700282852,LAKE JACKSON,TX,77566.0,2023,,5.0,,5.0,,5.0,0.22,,95.0,,,5.0,437.0,No Different Than the National Rate,10.8,7.7,15.3,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
LAKE JACKSON ENDOSCOPY CENTER,45C0001586,1700282852,LAKE JACKSON,TX,77566.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,11.0,9.1,
PORT WARWICK SURGERY CENTER LLC,49C0001101,1700341468,NEWPORT NEWS,VA,23606.0,2023,,5.0,,5.0,,5.0,0.57,,,5.0,,5.0,,,,,,5.0,99.51,,,5.0,173.0,No Different Than the National Rate,2.1,1.4,3.1,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
PORT WARWICK SURGERY CENTER LLC,49C0001101,1700341468,NEWPORT NEWS,VA,23606.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,81.0,4.7,
TRYON ENDOSCOPY CENTER,34C0001208,1700359403,CHARLOTTE,NC,28277.0,2023,,5.0,0.03,,,5.0,0.04,,94.2,,,5.0,3107.0,Better Than the National Rate,6.9,5.1,9.2,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
TRYON ENDOSCOPY CENTER,34C0001208,1700359403,CHARLOTTE,NC,28277.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,43.0,0.0,
ALLIANCE SURGERY CENTER AT MARIETTA LLC,11C0001334,1700369071,MARIETTA,GA,30060.0,2023,0.0,,0.04,,0.0,,0.0,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
ALLIANCE SURGERY CENTER AT MARIETTA LLC,11C0001334,1700369071,MARIETTA,GA,30060.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,14.0,0.0,
CENTER FOR SPINE INTERVENTIONS ASC 2,11C0001499,1700389822,DALLAS,GA,30157.0,2023,,5.0,,5.0,,5.0,0.1,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
CENTER FOR SPINE INTERVENTIONS ASC 2,11C0001499,1700389822,DALLAS,GA,30157.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,44.0,4.6,
FALCONHEAD SURGERY CENTER LLC,45C0001721,1700400850,AUSTIN,TX,78738.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,0.51,,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
FALCONHEAD SURGERY CENTER LLC,45C0001721,1700400850,AUSTIN,TX,78738.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,23.0,97.1,
METHODIST MANSFIELD AMBULATORY SURGERY CENTER LLC,45C0001710,1700419678,MANSFIELD,TX,76063.0,2023,0.0,,0.08,,0.0,,0.05,,55.08,,,5.0,167.0,No Different Than the National Rate,9.3,6.4,13.4,,99.91,,,5.0,85.0,No Different Than the National Rate,2.5,1.7,3.8,,,Number of Cases Too Small,,,,1.0,34.0,No Different than expected,1.0,0.5,1.9,,,,5.0
METHODIST MANSFIELD AMBULATORY SURGERY CENTER LLC,45C0001710,1700419678,MANSFIELD,TX,76063.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,152.0,6.6,
GEORGIA INTERVENTIONAL PAIN F LLC,11C0001525,1700424322,ROSWELL,GA,30076.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
GEORGIA INTERVENTIONAL PAIN F LLC,11C0001525,1700424322,ROSWELL,GA,30076.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,8.0,,1.0
METHODIST AMBULATORY SURGERY CENTER OF BOERNE LLC,45C0001704,1700431798,BOENGER,TX,78006.0,2023,0.0,,0.0,,0.05,,0.0,,50.0,,,5.0,66.0,No Different Than the National Rate,9.7,6.7,14.1,,100.0,,0.21,,53.0,No Different Than the National Rate,2.3,1.5,3.5,,,Number of Cases Too Small,,,,1.0,67.0,No Different than expected,0.8,0.5,1.5,,,,5.0
METHODIST AMBULATORY SURGERY CENTER OF BOERNE LLC,45C0001704,1700431798,BOENGER,TX,78006.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,282.0,0.0,
JOHNS HOPKINS SURGERY CENTERS SERIES DBA LUTHERVILLE SURGERY CENTER,21C0001145,1700437423,LUTHERVILLE,MD,21093.0,2023,0.0,,0.0,,0.0,,0.1,,,5.0,,5.0,,,,,,5.0,81.82,,0.33,,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
JOHNS HOPKINS SURGERY CENTERS SERIES DBA LUTHERVILLE SURGERY CENTER,21C0001145,1700437423,LUTHERVILLE,MD,21093.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,31.0,2.2,
STONE OAK SURGICENTER LLC DBA STONE OAK SURGERY CENTER,45C0001531,1700546629,SAN ANTONIO,TX,78232.0,2023,0.0,,0.0,,0.0,,0.05,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,93.0,No Different Than the National Rate,2.3,1.5,3.4,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
STONE OAK SURGICENTER LLC DBA STONE OAK SURGERY CENTER,45C0001531,1700546629,SAN ANTONIO,TX,78232.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,58.0,0.0,
PUYALLUP AMBULATORY SURGERY CENTER LLC,50C0001221,1700661212,PUYALLUP,WA,98372.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
PUYALLUP AMBULATORY SURGERY CENTER LLC,50C0001221,1700661212,PUYALLUP,WA,98372.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,28.0,0.0,
ENDOSCOPY CENTER OF THE ROCKIES LLC,06C0001065,1700807617,LAFAYETTE,CO,80026.0,2023,,5.0,0.02,,,5.0,0.07,,93.73,,,5.0,1507.0,No Different Than the National Rate,12.6,9.3,16.7,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
ENDOSCOPY CENTER OF THE ROCKIES LLC,06C0001065,1700807617,LAFAYETTE,CO,80026.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,37.0,33.0,
ADVANCED ENDOSCOPY CENTER INC,05C0001454,1700816733,MERCED,CA,95348.0,2023,0.0,,0.0,,0.0,,,5.0,70.63,,,5.0,1575.0,No Different Than the National Rate,10.0,7.3,13.1,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
ADVANCED ENDOSCOPY CENTER INC,05C0001454,1700816733,MERCED,CA,95348.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,6.0,,1.0
DERMATOLOGY SURGERY CENTER,45C0001328,1700822335,TYLER,TX,75703.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,2593.0,No Different than expected,0.8,0.6,1.1,,,,5.0
DERMATOLOGY SURGERY CENTER,45C0001328,1700822335,TYLER,TX,75703.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,17.0,0.0,
SOUTHWESTERN EYE CENTER LTD,03C0001262,1700828423,SIERRA VISTA,AZ,85635.0,2023,0.0,,0.0,,0.0,,0.08,,,5.0,,5.0,,,,,,5.0,,5.0,0.24,,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
SOUTHWESTERN EYE CENTER LTD,03C0001262,1700828423,SIERRA VISTA,AZ,85635.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,10.0,,1.0
WALNUT HILL SURGERY CENTER,45C0001352,1700838190,DALLAS,TX,75231.0,2023,0.0,,0.0,,0.0,,0.06,,,5.0,,5.0,,,,,,5.0,,5.0,0.04,,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
WALNUT HILL SURGERY CENTER,45C0001352,1700838190,DALLAS,TX,75231.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,19.0,0.0,
